prefecture,population_2024,judo_members_2024,judo_dojo_2015,members_per_100k
Hokkaido,5100000,26,151,0.51
Aomori,1200000,5438,41,453.17
Iwate,1180000,1484,41,125.76
Miyagi,2280000,2408,52,105.61
Akita,920000,2629,31,285.76
Yamagata,1050000,1376,37,131.05
Fukushima,1800000,2047,42,113.72
Ibaraki,2850000,1936,73,67.93
Tochigi,1930000,3741,58,193.82
Gunma,1920000,2483,40,129.32
Saitama,7340000,2601,98,35.44
Chiba,6280000,5021,89,79.95
Tokyo,14000000,5813,102,41.52
Kanagawa,9200000,1126,61,12.24
Niigata,2170000,2384,61,109.86
Toyama,1020000,1815,27,177.94
Ishikawa,1130000,1295,35,114.6
Fukui,760000,957,19,125.92
Yamanashi,800000,10340,35,1292.5
Nagano,2030000,1126,84,55.47
Gifu,1980000,1861,56,94.0
Shizuoka,3600000,8446,55,234.61
Aichi,7500000,6012,77,80.16
Mie,1740000,1718,29,98.74
Shiga,1410000,1581,24,112.13
Kyoto,2550000,2702,19,105.96
Osaka,8800000,6122,45,69.57
Hyogo,5400000,5334,59,98.78
Nara,1300000,1116,20,85.85
Wakayama,900000,1315,20,146.11
Tottori,540000,501,18,92.78
Shimane,670000,1194,14,178.21
Okayama,1880000,1874,46,99.68
Hiroshima,2790000,2317,30,83.05
Yamaguchi,1340000,1592,37,118.81
Tokushima,720000,1552,20,215.56
Kagawa,950000,852,23,89.68
Ehime,1330000,2157,42,162.18
Kochi,690000,646,17,93.62
Fukuoka,5100000,5316,102,104.24
Saga,800000,1108,26,138.5
Nagasaki,1280000,1636,47,127.81
Kumamoto,1720000,2562,52,148.95
Oita,1120000,1244,48,111.07
Miyazaki,1070000,1275,23,119.16
Kagoshima,1580000,2060,58,130.38
Okinawa,1470000,1778,13,120.95
